conversation_proxy_id,author_id,n_turns,avg_user_sentiment,sentiment_volatility,escalation_event_rate,avg_utterance_length,first_turn_frustration,recovery_rate,dropout_flag,question_ratio,rule_based_persona_hint,cluster_id,cluster_confidence,persona_cluster
115714_17,115714,1,0.0,0.0,0.0,22.0,0.26426116838487973,0.0,1,0.0,cooperative,3,0.9999999865831093,cooperative
115714_18,115714,1,0.0,0.0,0.0,7.0,0.28125,0.0,1,0.0,silent_dropout,3,0.9999999836590662,cooperative
115714_19,115714,3,0.0,0.0,0.0,16.0,0.2575268817204301,0.0,0,0.3333333333333333,cooperative,0,0.9999999998926832,cooperative
115714_2,115714,1,0.0,0.0,0.0,15.0,0.1569767441860465,0.0,1,0.0,cooperative,3,0.9999999712682812,cooperative
115714_20,115714,2,0.0,0.0,0.0,8.0,0.10945945945945947,0.0,1,0.5,silent_dropout,5,0.99999999757528,cooperative
115714_21,115714,3,0.0,0.0,0.0,11.666666666666666,0.23761904761904762,0.0,0,0.3333333333333333,cooperative,0,0.9999999999522302,cooperative
115714_22,115714,1,0.0,0.0,0.0,10.0,0.2619402985074627,0.0,1,0.0,silent_dropout,3,0.9999999817360783,cooperative
115714_23,115714,1,0.0,0.0,0.0,12.0,0.21314102564102566,0.0,1,0.0,cooperative,3,0.9999999758216237,cooperative
115714_24,115714,2,0.0,0.0,0.0,17.5,0.3187984496124031,0.0,1,0.0,cooperative,3,0.9999999901999637,cooperative
115714_25,115714,1,0.0,0.0,0.0,19.0,0.2590909090909091,0.0,1,0.0,cooperative,3,0.9999999847818907,cooperative
115714_26,115714,2,0.0,0.0,0.0,19.5,0.12525773195876289,0.0,1,0.0,cooperative,3,0.999999973136671,cooperative
115714_27,115714,5,0.0,0.0,0.0,20.6,0.14009433962264153,0.0,0,0.2,cooperative,0,0.999999999796561,cooperative
115714_28,115714,2,0.0,0.0,0.0,12.5,0.1148936170212766,0.0,1,0.0,cooperative,3,0.999999965516516,cooperative
115714_29,115714,1,0.0,0.0,0.0,19.0,0.09908256880733946,0.0,1,0.0,cooperative,3,0.9999999716039274,cooperative
115714_3,115714,1,0.0,0.0,0.0,20.0,0.1909090909090909,0.0,1,0.0,cooperative,3,0.9999999784327935,cooperative
115714_30,115714,5,0.05416942370334429,0.12112651370266624,0.0,19.0,0.29100877192982455,0.0,0,0.0,cooperative,4,0.9999392200300653,cooperative
115714_31,115714,1,0.0,0.0,0.0,13.0,0.2850877192982456,0.0,1,0.0,cooperative,3,0.99999998556655,cooperative
115714_4,115714,1,0.0,0.0,0.0,21.0,0.16363636363636364,0.0,1,0.0,cooperative,3,0.9999999769432508,cooperative
115714_5,115714,3,0.0,0.0,0.0,18.666666666666668,0.1588235294117647,0.0,0,0.0,cooperative,0,0.9999999998335696,cooperative
115714_6,115714,3,0.0,0.0,0.0,17.333333333333332,0.162,0.0,0,0.3333333333333333,cooperative,0,0.9999999998718536,cooperative
115714_7,115714,1,0.0,0.0,0.0,17.0,0.23484848484848486,0.0,1,0.0,cooperative,3,0.999999981175524,cooperative
115714_8,115714,1,0.0,0.0,0.0,20.0,0.29901960784313725,0.0,1,0.0,cooperative,3,0.9999999890615889,cooperative
115714_9,115714,1,0.0,0.0,0.0,11.0,0.22179487179487178,0.0,1,1.0,silent_dropout,5,0.9999999999708642,cooperative
115715_1,115715,1,0.0,0.0,0.0,27.0,0.10210084033613444,0.0,1,0.0,cooperative,3,0.9999999799259707,cooperative
115716_1,115716,5,0.0,0.0,0.0,19.4,0.09375,0.0,0,0.4,cooperative,0,0.9999999998302371,cooperative
115717_1,115717,1,0.0,0.0,0.0,20.0,0.12641843971631206,0.0,1,0.0,cooperative,3,0.9999999736913953,cooperative
115718_1,115718,2,0.0,0.0,0.0,14.5,0.14025974025974025,0.0,1,0.5,cooperative,5,0.9999999801191353,cooperative
115719_1,115719,2,0.09157983009511123,0.5842011116532685,0.0,12.5,0.04709302325581395,2.0,1,0.0,impatient,2,1.0,cooperative
115720_1,115720,1,0.0,0.0,0.0,20.0,0.034033613445378155,0.0,1,0.0,cooperative,3,0.9999999732661567,cooperative
115721_1,115721,5,0.0,0.0,0.0,22.4,0.14469696969696969,0.0,0,0.4,cooperative,0,0.9999999997196483,cooperative
115722_1,115722,1,0.0,0.0,0.0,12.0,0.07105263157894737,0.0,1,0.0,cooperative,3,0.999999963259637,cooperative
115722_10,115722,1,0.0,0.0,0.0,15.0,0.13500000000000004,0.0,1,0.0,cooperative,3,0.9999999693704962,cooperative
115722_11,115722,2,0.0,0.0,0.0,12.5,0.2700000000000001,0.0,1,1.0,cooperative,5,0.9999999999473026,cooperative
115722_12,115722,11,-0.031154082451405444,0.10332640217910742,0.0,14.181818181818182,0.1125,1.0,0,0.7272727272727273,cooperative,2,1.0,cooperative
115722_13,115722,2,0.0,0.0,0.0,16.5,0.1569767441860465,0.0,1,0.5,cooperative,5,0.9999999652975445,cooperative
115722_14,115722,2,0.0,0.0,0.0,14.5,0.1163793103448276,0.0,1,1.0,cooperative,5,0.9999999999378382,cooperative
115722_15,115722,1,0.366708940375566,0.0,0.0,14.0,0.12735849056603776,0.0,1,1.0,cooperative,5,0.9999999999691536,cooperative
115722_16,115722,1,0.0,0.0,0.0,13.0,0.18900000000000003,0.0,1,1.0,cooperative,5,0.999999999951978,cooperative
115722_2,115722,1,0.0,0.0,0.0,13.0,0.16875,0.0,1,0.0,cooperative,3,0.9999999708879703,cooperative
115722_3,115722,1,0.0,0.0,0.0,10.0,0.25116279069767444,0.0,1,1.0,silent_dropout,5,0.9999999999766658,cooperative
115722_4,115722,7,0.0,0.0,0.0,15.857142857142858,0.20543478260869566,0.0,0,0.5714285714285714,cooperative,0,0.9999999998767599,cooperative
115722_5,115722,5,0.0,0.0,0.0,17.2,0.12272727272727273,0.0,0,0.4,cooperative,0,0.9999999998761666,cooperative
115722_6,115722,1,0.0,0.0,0.0,12.0,0.19285714285714284,0.0,1,0.0,cooperative,3,0.9999999731302086,cooperative
115722_7,115722,6,0.0,0.0,0.0,15.166666666666666,0.16530612244897958,0.0,0,0.8333333333333334,cooperative,0,0.9999999998346709,cooperative
115722_8,115722,2,0.0,0.0,0.0,7.5,0.4047619047619047,0.0,1,1.0,silent_dropout,5,0.9999999999810427,cooperative
115722_9,115722,2,0.0,0.0,0.0,14.0,0.09000000000000001,0.0,1,1.0,cooperative,5,0.9999999999478959,cooperative
115723_1,115723,2,-0.10701513106924729,0.1513422497372639,0.0,16.0,0.12705882352941178,1.0,1,0.0,cooperative,2,1.0,cooperative
115723_2,115723,5,-0.2218398889397529,0.30376677831685867,0.0,8.8,0.23478260869565218,1.0,0,0.0,cooperative,2,1.0,cooperative
115724_1,115724,1,0.0,0.0,0.0,15.0,0.4172727272727273,0.0,1,1.0,cooperative,5,0.9999999998157456,cooperative
115725_1,115725,1,0.0,0.0,0.0,18.0,0.10485436893203882,0.0,1,0.0,cooperative,3,0.9999999707094145,cooperative
115725_10,115725,1,0.0,0.0,0.0,22.0,0.15517241379310345,0.0,1,1.0,cooperative,5,0.999999999662144,cooperative
115725_11,115725,2,0.0,0.0,0.0,22.5,0.06835443037974684,0.0,1,0.0,cooperative,3,0.999999975219151,cooperative
115725_12,115725,1,0.0,0.0,0.0,19.0,0.19285714285714284,0.0,1,0.0,cooperative,3,0.9999999778950512,cooperative
115725_13,115725,1,0.0,0.0,0.0,12.0,0.15241935483870966,0.0,1,0.0,cooperative,3,0.9999999683136954,cooperative
115725_14,115725,2,0.0,0.0,0.0,19.5,0.22230392156862744,0.0,1,0.0,cooperative,3,0.999999981189138,cooperative
115725_15,115725,2,0.0,0.0,0.0,20.0,0.11095890410958904,0.0,1,0.5,cooperative,5,0.9999999328616185,cooperative
115725_16,115725,1,0.0,0.0,0.0,19.0,0.030337078651685393,0.0,1,0.0,cooperative,3,0.9999999722637906,cooperative
115725_17,115725,1,0.0,0.0,0.0,12.0,0.1148936170212766,0.0,1,1.0,cooperative,5,0.9999999999693259,cooperative
115725_2,115725,1,0.16514041292462933,0.0,0.0,26.0,0.10384615384615385,0.0,1,0.0,cooperative,3,0.99999999899741,cooperative
115725_3,115725,1,0.0,0.0,0.0,16.0,0.10474137931034484,0.0,1,0.0,cooperative,3,0.9999999685758749,cooperative
115725_4,115725,2,0.0,0.0,0.0,16.0,0.04029850746268657,0.0,1,0.5,cooperative,5,0.9999999763007746,cooperative
115725_5,115725,1,0.0,0.0,0.0,22.0,0.24300000000000002,0.0,1,0.0,cooperative,3,0.999999984601388,cooperative
115725_6,115725,4,0.0,0.0,0.0,10.25,0.2700000000000001,0.0,0,0.5,cooperative,0,0.9999999999603979,cooperative
115725_7,115725,3,0.0,0.0,0.0,9.666666666666666,0.36818181818181817,0.0,0,0.6666666666666666,cooperative,0,0.9999999999619256,cooperative
115725_8,115725,1,0.42562819723499473,0.0,0.0,13.0,0.12053571428571429,0.0,1,1.0,cooperative,5,0.9999999998670623,cooperative
115725_9,115725,5,0.12572303653712522,0.1733196423861015,0.0,13.2,0.216,0.0,0,0.6,cooperative,4,0.9999729853737108,cooperative
115727_1,115727,1,0.0,0.0,0.0,8.0,0.0,0.0,1,0.0,silent_dropout,3,0.9999999610932954,cooperative
115728_1,115728,3,0.0,0.0,0.0,7.666666666666667,0.20625000000000002,0.0,0,0.0,cooperative,0,0.9999999999794262,cooperative
115729_1,115729,1,0.0,0.0,0.0,17.0,0.05704225352112676,0.0,1,0.0,cooperative,3,0.9999999690883965,cooperative
115730_1,115730,1,0.0,0.0,0.0,16.0,0.07714285714285715,0.0,1,0.0,cooperative,3,0.9999999678658474,cooperative
115731_1,115731,2,0.0,0.0,0.0,14.0,0.08265306122448979,0.0,1,0.0,cooperative,3,0.9999999656931037,cooperative
115732_1,115732,1,0.0,0.0,0.0,14.0,0.23333333333333334,0.0,1,0.0,cooperative,3,0.9999999794934242,cooperative
115733_1,115733,1,0.0,0.0,0.0,12.0,0.07788461538461539,0.0,1,1.0,cooperative,5,0.9999999999711022,cooperative
115734_1,115734,1,0.20537067595698338,0.0,0.0,26.0,0.18818770226537215,0.0,1,1.0,cooperative,5,0.9999999996064659,cooperative
115735_1,115735,1,-0.2336958171850616,0.0,1.0,22.0,0.41045454545454546,0.0,1,0.0,escalation_prone,1,0.9999999999999991,escalation_prone
115735_2,115735,1,0.3027097293321085,0.0,0.0,16.0,0.25871212121212117,0.0,1,0.0,cooperative,3,0.9999999999990479,cooperative
115736_1,115736,1,0.0,0.0,0.0,25.0,0.07570093457943924,0.0,1,0.0,cooperative,3,0.9999999778393731,cooperative
115737_1,115737,2,0.0,0.0,0.0,10.0,0.2288135593220339,0.0,1,0.5,silent_dropout,5,0.9999999930213654,cooperative
115738_1,115738,1,0.0,0.0,0.0,17.0,0.05454545454545455,0.0,1,0.0,cooperative,3,0.9999999691310753,cooperative
115739_1,115739,1,0.0,0.0,0.0,11.0,0.1208955223880597,0.0,1,0.0,silent_dropout,3,0.9999999645065152,cooperative
115740_1,115740,1,0.0,0.0,0.0,9.0,0.10384615384615385,0.0,1,0.0,silent_dropout,3,0.9999999613759386,cooperative
115741_1,115741,3,0.22762501188878023,0.21435468277172365,0.0,13.333333333333334,0.07941176470588235,0.0,0,0.0,cooperative,4,0.9999818135899025,cooperative
115742_1,115742,1,0.0,0.0,0.0,9.0,0.17307692307692307,0.0,1,0.0,silent_dropout,3,0.9999999685942247,cooperative
115743_1,115743,1,0.0,0.0,0.0,9.0,0.11739130434782609,0.0,1,1.0,silent_dropout,5,0.9999999999880806,cooperative
115744_1,115744,1,0.0,0.0,0.0,7.0,0.2109375,0.0,1,1.0,silent_dropout,5,0.9999999999925144,cooperative
115745_1,115745,1,0.0,0.0,0.0,22.0,0.11796116504854369,0.0,1,0.0,cooperative,3,0.9999999753290613,cooperative
115745_2,115745,1,0.0,0.0,0.0,25.0,0.09545454545454544,0.0,1,0.0,cooperative,3,0.9999999778711699,cooperative
115746_1,115746,1,0.0,0.0,0.0,17.0,0.05126582278481013,0.0,1,0.0,cooperative,3,0.9999999691978698,cooperative
115747_1,115747,1,0.0,0.0,0.0,11.0,0.2131578947368421,0.0,1,0.0,silent_dropout,3,0.9999999752984013,cooperative
115748_1,115748,1,0.0,0.0,0.0,23.0,0.07168141592920355,0.0,1,1.0,cooperative,5,0.9999999996449667,cooperative
115749_1,115749,4,0.0,0.0,0.0,37.5,0.021951219512195124,0.0,0,0.25,cooperative,0,0.9999999991536122,cooperative
115749_2,115749,1,0.0,0.0,1.0,35.0,0.35625,0.0,1,0.0,escalation_prone,1,1.0,escalation_prone
115750_1,115750,1,0.0,0.0,0.0,8.0,0.07105263157894737,0.0,1,0.0,silent_dropout,3,0.9999999589056481,cooperative
115751_1,115751,3,0.2538647186519216,0.43970659095430664,0.0,11.333333333333334,0.049999999999999996,0.0,0,0.6666666666666666,cooperative,4,0.9999999851033259,cooperative
115752_1,115752,1,0.0,0.0,0.0,22.0,0.04736842105263158,0.0,1,0.0,cooperative,3,0.9999999750763141,cooperative
115753_1,115753,1,0.0,0.0,0.0,11.0,0.34285714285714286,0.0,1,0.0,silent_dropout,3,0.9999999912984165,cooperative
115755_1,115755,2,0.49330714907571516,0.6976416606384827,0.0,6.5,0.1323529411764706,0.0,1,0.0,silent_dropout,4,0.9999999999999998,cooperative
115756_1,115756,1,0.0,0.0,0.0,21.0,0.10617977528089888,0.0,1,0.0,cooperative,3,0.9999999739252917,cooperative
115757_1,115757,1,0.0,0.0,0.0,14.0,0.4235294117647059,0.0,1,0.0,cooperative,3,0.9999999967803177,cooperative
115758_1,115758,1,0.0,0.0,0.0,15.0,0.26614583333333336,0.0,1,0.0,cooperative,3,0.9999999839640453,cooperative
115758_2,115758,1,0.0,0.0,0.0,12.0,0.2985507246376811,0.0,1,0.0,cooperative,3,0.9999999868862233,cooperative
115758_3,115758,1,0.0,0.0,0.0,14.0,0.2973577235772358,0.0,1,0.0,cooperative,3,0.9999999872283425,cooperative
115758_4,115758,1,0.24491866240370913,0.0,0.0,14.0,0.1157142857142857,0.0,1,0.0,cooperative,3,0.9999999999545857,cooperative
115759_1,115759,1,0.0,0.0,0.0,12.0,0.035526315789473684,0.0,1,1.0,cooperative,5,0.9999999999725553,cooperative
115760_1,115760,1,0.0,0.0,0.0,12.0,0.1534090909090909,0.0,1,0.0,cooperative,3,0.9999999684184542,cooperative
115762_1,115762,2,0.0,0.0,0.0,8.0,0.1534090909090909,0.0,1,0.5,silent_dropout,5,0.999999997250665,cooperative
115762_2,115762,4,0.0,0.0,0.0,10.5,0.21891891891891893,0.0,0,0.5,cooperative,0,0.9999999999586073,cooperative
115763_1,115763,2,0.0,0.0,0.0,12.0,0.4713114754098361,0.0,1,0.0,cooperative,3,0.9999999983358236,cooperative
115764_1,115764,1,0.0,0.0,0.0,21.0,0.14210526315789473,0.0,1,1.0,cooperative,5,0.999999999722661,cooperative
115765_1,115765,1,0.0,0.0,0.0,23.0,0.1226537216828479,0.0,1,0.0,cooperative,3,0.9999999764928555,cooperative
115765_10,115765,2,0.12862341921567297,0.18190098389360487,0.0,14.5,0.45,0.0,1,0.0,cooperative,4,0.9999994335848236,cooperative
115765_11,115765,1,0.0,0.0,0.0,16.0,0.5333333333333333,0.0,1,0.0,cooperative,3,0.9999999994072191,cooperative
115765_12,115765,2,0.0,0.0,0.0,16.5,0.2700000000000001,0.0,1,0.0,cooperative,3,0.9999999849590219,cooperative
115765_13,115765,1,0.18997158704554315,0.0,0.0,24.0,0.23864306784660766,0.0,1,0.0,cooperative,3,0.9999999997223128,cooperative
115765_14,115765,1,0.366708940375566,0.0,0.0,14.0,0.04426229508196721,0.0,1,0.0,cooperative,3,0.9999999999999751,cooperative
115765_15,115765,1,0.0,0.0,0.0,26.0,0.09174757281553397,0.0,1,0.0,cooperative,3,0.9999999788545788,cooperative
115765_16,115765,3,0.0,0.0,0.0,28.666666666666668,0.2327586206896552,0.0,0,0.0,cooperative,0,0.999999999375536,cooperative
115765_17,115765,2,0.14296013786008313,0.20217616584045695,0.0,23.5,0.19285714285714284,0.0,1,0.0,cooperative,4,0.9999999829996288,cooperative
115765_2,115765,1,0.0,0.0,0.0,15.0,0.39166666666666666,0.0,1,0.0,cooperative,3,0.9999999952493717,cooperative
115765_3,115765,1,0.3426949069654599,0.0,0.0,21.0,0.2811781609195402,0.0,1,0.0,cooperative,3,0.9999999999999396,cooperative
115765_4,115765,1,0.0,0.0,0.0,25.0,0.44952380952380955,0.0,1,0.0,cooperative,3,0.9999999981376817,cooperative
115765_5,115765,1,0.0,0.0,0.0,21.0,0.45,0.0,1,0.0,cooperative,3,0.9999999979829362,cooperative
115765_6,115765,2,0.0,0.0,0.0,36.5,0.30083333333333334,0.0,1,0.0,cooperative,3,0.9999999942372177,cooperative
115765_7,115765,1,0.0,0.0,0.0,46.0,0.15,0.0,1,0.0,cooperative,3,0.999999993788407,cooperative
115765_8,115765,2,0.0,0.0,0.0,24.0,0.4438356164383562,0.0,1,0.0,cooperative,3,0.9999999979414618,cooperative
115765_9,115765,1,0.0,0.0,0.0,25.0,0.23203125,0.0,1,0.0,cooperative,3,0.9999999852470438,cooperative
115766_1,115766,1,0.0,0.0,0.0,24.0,0.3007062146892655,0.0,1,0.0,cooperative,3,0.9999999904214576,cooperative
115766_10,115766,1,0.0,0.0,0.0,17.0,0.22710280373831773,0.0,1,1.0,cooperative,5,0.9999999998527613,cooperative
115766_11,115766,1,0.0,0.0,0.0,12.0,0.12735849056603776,0.0,1,1.0,cooperative,5,0.9999999999686082,cooperative
115766_12,115766,1,0.0,0.0,0.0,20.0,0.15,0.0,1,0.0,cooperative,3,0.9999999750939356,cooperative
115766_2,115766,3,0.0,0.0,0.0,17.666666666666668,0.319047619047619,0.0,0,0.3333333333333333,cooperative,0,0.999999999863423,cooperative
115766_3,115766,2,0.0,0.0,0.0,26.0,0.18880208333333331,0.0,1,0.0,cooperative,3,0.9999999826513496,cooperative
115766_4,115766,1,0.0,0.0,0.0,16.0,0.1883720930232558,0.0,1,0.0,cooperative,3,0.9999999752852421,cooperative
115766_5,115766,1,0.24491866240370913,0.0,0.0,17.0,0.3507861635220126,0.0,1,0.0,cooperative,3,0.9999999999893348,cooperative
115766_6,115766,1,0.0,0.0,0.0,25.0,0.4886850152905199,0.0,1,0.0,cooperative,3,0.9999999989337525,cooperative
115766_7,115766,1,0.0,0.0,0.0,18.0,0.27880434782608693,0.0,1,0.0,cooperative,3,0.9999999864477296,cooperative
115766_8,115766,2,0.0,0.0,0.0,18.0,0.3215686274509804,0.0,1,0.0,cooperative,3,0.9999999905564216,cooperative
115766_9,115766,1,0.0,0.0,0.0,29.0,0.3153284671532847,0.0,1,0.0,cooperative,3,0.9999999928706096,cooperative
115767_1,115767,5,0.0,0.0,0.0,10.0,0.24545454545454545,0.0,0,0.2,cooperative,0,0.9999999999664873,cooperative
115768_1,115768,1,0.0,0.0,0.0,25.0,0.058695652173913045,0.0,1,0.0,cooperative,3,0.9999999780674858,cooperative
115768_2,115768,3,0.0,0.0,0.0,6.666666666666667,0.12272727272727273,0.0,0,0.0,cooperative,0,0.9999999999866169,cooperative
115768_3,115768,2,0.0,0.0,0.5,12.0,0.08709677419354839,0.0,1,0.5,escalation_prone,1,0.9999999689217014,escalation_prone
115768_4,115768,4,0.051342668989245846,0.10268533797849169,0.0,23.75,0.023893805309734513,0.0,0,0.0,cooperative,4,0.9999563081676629,cooperative
115769_1,115769,1,0.0,0.0,0.0,14.0,0.3187984496124031,0.0,1,0.0,cooperative,3,0.9999999894651737,cooperative
115770_1,115770,4,0.0,0.0,0.0,2.25,0.11739130434782609,0.0,0,0.0,cooperative,0,0.9999999999958149,cooperative
115771_1,115771,1,0.0,0.0,0.0,19.0,0.08617021276595745,0.0,1,0.0,cooperative,3,0.9999999713486614,cooperative
115772_1,115772,1,0.0,0.0,0.0,11.0,0.15,0.0,1,1.0,silent_dropout,5,0.9999999999757101,cooperative
115773_1,115773,1,0.0,0.0,0.0,13.0,0.05510204081632653,0.0,1,1.0,cooperative,5,0.9999999999623874,cooperative
115774_1,115774,1,0.0,0.0,0.0,26.0,0.05806451612903226,0.0,1,1.0,cooperative,5,0.9999999994663504,cooperative
115775_1,115775,1,0.0,0.0,0.0,21.0,0.11946902654867256,0.0,1,0.0,cooperative,3,0.9999999743794777,cooperative
115776_1,115776,2,0.0,0.0,0.5,20.0,0.08333333333333333,0.0,1,0.0,escalation_prone,1,0.9999999096060167,escalation_prone
115777_1,115777,2,0.07995304608213794,0.11307068212240051,0.0,20.0,0.1134453781512605,0.0,1,0.5,cooperative,4,0.9999999635493537,cooperative
115778_1,115778,1,0.0,0.0,0.0,16.0,0.08766233766233765,0.0,1,0.0,cooperative,3,0.9999999680320398,cooperative
115778_2,115778,1,0.0,0.0,0.0,15.0,0.13728813559322034,0.0,1,1.0,cooperative,5,0.9999999999264233,cooperative
115778_3,115778,2,0.0,0.0,0.0,12.0,0.19518072289156624,0.0,1,0.0,cooperative,3,0.9999999734325659,cooperative
115778_4,115778,1,0.0,0.0,0.0,11.0,0.17891566265060244,0.0,1,0.0,silent_dropout,3,0.9999999706809004,cooperative
115778_5,115778,1,0.27084711851672144,0.0,0.0,11.0,0.29477911646586347,0.0,1,0.0,silent_dropout,3,0.9999999999953815,cooperative
115779_1,115779,1,0.0,0.0,0.0,29.0,0.1470125786163522,0.0,1,0.0,cooperative,3,0.9999999828306408,cooperative
115780_1,115780,1,0.0,0.0,0.0,14.0,0.09782608695652176,0.0,1,0.0,cooperative,3,0.9999999661597562,cooperative
115781_1,115781,1,0.0,0.0,0.0,24.0,0.27619047619047615,0.0,1,0.0,cooperative,3,0.9999999884466391,cooperative
115781_2,115781,1,0.0,0.0,0.0,22.0,0.09230769230769231,0.0,1,0.0,cooperative,3,0.9999999747027001,cooperative
115781_3,115781,1,0.0,0.0,0.0,6.0,0.11911764705882354,0.0,1,0.0,silent_dropout,3,0.9999999599890445,cooperative
115782_1,115782,2,0.183354470187783,0.25930237846129606,0.0,21.5,0.14414414414414414,0.0,1,0.0,cooperative,4,0.9999999945978986,cooperative
115782_2,115782,2,0.35351790983185943,0.15358252857640162,0.0,14.0,0.0509433962264151,0.8868188839700738,1,0.0,cooperative,2,1.0,cooperative
115783_1,115783,1,0.0,0.0,0.0,19.0,0.12735849056603776,0.0,1,0.0,cooperative,3,0.9999999727497414,cooperative
115783_2,115783,1,0.0,0.0,0.0,18.0,0.081,0.0,1,0.0,cooperative,3,0.999999970170752,cooperative
115783_3,115783,1,0.0,0.0,0.0,20.0,0.07941176470588235,0.0,1,0.0,cooperative,3,0.9999999724060412,cooperative
115783_4,115783,1,0.0,0.0,0.0,31.0,0.07670454545454546,0.0,1,0.0,cooperative,3,0.9999999836777712,cooperative
115783_5,115783,1,0.0,0.0,0.0,21.0,0.16100917431192663,0.0,1,0.0,cooperative,3,0.9999999767512195,cooperative
115783_6,115783,1,0.23917836308669213,0.0,0.0,37.0,0.06206896551724138,0.0,1,0.0,cooperative,3,0.9999999999699014,cooperative
115783_7,115783,1,0.0,0.0,0.0,20.0,0.13500000000000004,0.0,1,0.0,cooperative,3,0.9999999741491056,cooperative
115783_8,115783,1,0.0,0.0,0.0,33.0,0.07838709677419355,0.0,1,1.0,cooperative,5,0.9999999990840927,cooperative
115783_9,115783,1,0.0,0.0,0.0,29.0,0.10588235294117647,0.0,1,1.0,cooperative,5,0.9999999992489137,cooperative
115784_1,115784,1,0.0,0.0,0.0,22.0,0.09174757281553397,0.0,1,0.0,cooperative,3,0.9999999746957368,cooperative
115785_1,115785,7,0.0,0.0,0.0,21.428571428571427,0.036000000000000004,0.0,0,0.2857142857142857,cooperative,0,0.9999999998083773,cooperative
115786_1,115786,1,0.0,0.0,0.0,17.0,0.2929245283018868,0.0,1,0.0,cooperative,3,0.999999987581031,cooperative
115786_2,115786,1,0.0,0.0,0.0,19.0,0.21024590163934428,0.0,1,0.0,cooperative,3,0.9999999796408121,cooperative
115786_3,115786,1,0.0,0.0,0.0,19.0,0.2231404958677686,0.0,1,0.0,cooperative,3,0.9999999809838445,cooperative
115786_4,115786,1,0.0,0.0,0.0,19.0,0.1337837837837838,0.0,1,0.0,cooperative,3,0.9999999731149462,cooperative
115786_5,115786,1,0.0,0.0,0.0,18.0,0.2467741935483871,0.0,1,0.0,cooperative,3,0.9999999830084044,cooperative
115786_6,115786,1,0.0,0.0,0.0,14.0,0.19756097560975608,0.0,1,1.0,cooperative,5,0.9999999999353939,cooperative
115786_7,115786,1,0.0,0.0,0.0,9.0,0.13728813559322034,0.0,1,1.0,silent_dropout,5,0.9999999999875868,cooperative
115786_8,115786,1,0.0,0.0,0.0,16.0,0.2625,0.0,1,0.0,cooperative,3,0.9999999839177286,cooperative
115787_1,115787,1,0.3941185679308145,0.0,0.0,13.0,0.051923076923076926,0.0,1,0.0,cooperative,3,0.9999999999999964,cooperative
115787_2,115787,1,0.0,0.0,0.0,2.0,0.13500000000000004,0.0,1,0.0,silent_dropout,3,0.9999999591054101,cooperative
115789_1,115789,1,0.0,0.0,0.0,18.0,0.051923076923076926,0.0,1,1.0,cooperative,5,0.9999999998657394,cooperative
115790_1,115790,1,0.0,0.0,0.0,10.0,0.37056737588652483,0.0,1,0.0,silent_dropout,3,0.9999999935082009,cooperative
115791_1,115791,1,0.0,0.0,0.0,23.0,0.06279069767441861,0.0,1,1.0,cooperative,5,0.9999999996477449,cooperative
115791_2,115791,1,0.0,0.0,0.0,32.0,0.20606060606060606,0.0,1,1.0,cooperative,5,0.999999998962096,cooperative
