subflow,mean_turns,mean_action_count,resolution_rate,escalation_rate,conversation_count
manage_dispute_bill,13.57044762696213,4.2407648834256655,0.6178980155432446,0.17736732815225176,100
manage_downgrade,12.361037358667557,3.8628241745836114,0.6682901100555185,0.16056996331482717,100
manage_extension,15.293160194640064,4.77911256082502,0.5461183252233306,0.2012938915922231,100
manage_pay_bill,10.370643627273395,3.240826133522936,0.7512231821969418,0.1329256059343527,100
manage_payment_method,12.460488232462204,3.8939025726444383,0.6641463236474081,0.1619512254508639,100
manage_upgrade,12.460488232462204,3.8939025726444383,0.6641463236474081,0.1619512254508639,100
membership_1,12.997640726920196,4.061762727162561,0.6417649697116585,0.1694116767627805,100
membership_2,12.665866816980786,3.9580833803064954,0.6555888826258005,0.16480370579139977,100
membership_3,11.572575707504441,3.616429908595138,0.7011426788539816,0.1496191070486728,100
membership_4,13.00037063625316,4.062615823829113,0.6416512234894516,0.1694495921701828,100
missing,11.734195410129384,3.6669360656654324,0.6944085245779423,0.15186382514068586,100
mistimed_billing_already_returned,12.5602055138543,3.9250642230794686,0.6599914369227375,0.1633361876924208,100
mistimed_billing_never_bought,12.985407882802665,4.057939963375833,0.6422746715498889,0.169241776150037,100
out_of_stock_general,22.400000000000002,7.0,0.25,0.3,100
out_of_stock_one_item,20.508532986146538,6.408916558170793,0.32881112557722764,0.2737296248075908,100
policy_1,10.666843175649863,3.333388492390582,0.7388815343479225,0.1370394885506925,100
policy_2,12.516781079903085,3.911494087469714,0.6618007883373714,0.1627330705542095,100
policy_3,13.359517256288383,4.174849142590119,0.6266867809879841,0.17443773967067194,100
policy_4,11.203995670107856,3.5012486469087047,0.7165001804121727,0.14449993986260906,100
pricing_1,12.423928674103545,3.8824777106573576,0.665669638579019,0.16144345380699365,100
pricing_2,12.352996184969143,3.8603113078028573,0.668625158959619,0.16045828034679363,100
pricing_3,11.96630825413811,3.739471329418159,0.6847371560775788,0.15508761464080706,100
pricing_4,11.316609750324677,3.5364405469764613,0.7118079270698051,0.14606402431006493,100
promo_code_invalid,12.050123404170845,3.765663563803389,0.681244858159548,0.15625171394681728,100
promo_code_out_of_date,11.055790089792588,3.454934403060183,0.7226754129253089,0.14244152902489698,100
recover_password,11.895845640655459,3.7174517627048305,0.6876730983060226,0.15410896723132578,100
recover_username,12.015658442348167,3.754893263233802,0.682680898235493,0.1557730339215023,100
refund_initiate,11.345917454968946,3.5455992046777953,0.7105867727096273,0.14647107576345755,100
refund_status,11.631403522040173,3.634813600637554,0.6986915199149928,0.1504361600283357,100
refund_update,12.863078294652599,4.019711967078937,0.6473717377228083,0.1675427540923972,100
reset_2fa,11.516387803732705,3.59887118866647,0.7034838415111373,0.14883871949628752,100
return_color,11.895845640655459,3.7174517627048305,0.6876730983060226,0.15410896723132578,100
return_size,12.34259688382977,3.8570615261968033,0.6690584631737595,0.1603138456087468,100
return_stain,12.167488220162664,3.802340068800832,0.6763546574932224,0.15788178083559254,100
search_results,14.908214433620726,4.658817010506477,0.5621577319324699,0.1959474226891767,100
shirt_how_1,12.006698970219631,3.7520934281936347,0.6830542095741821,0.15564859680860596,100
shirt_how_2,11.406027474522464,3.5643835857882697,0.708082188561564,0.14730593714614532,100
shirt_how_3,8.0,2.5,0.85,0.09999999999999998,100
shirt_how_4,13.480652451829114,4.212703891196598,0.621639481173787,0.176120172942071,100
shirt_other_1,13.092899930295724,4.091531228217414,0.6377958362376781,0.17073472125410724,100
shirt_other_2,12.006698970219631,3.7520934281936347,0.6830542095741821,0.15564859680860596,100
shirt_other_3,12.460488232462204,3.8939025726444383,0.6641463236474081,0.1619512254508639,100
shirt_other_4,10.370643627273395,3.240826133522936,0.7512231821969418,0.1329256059343527,100
shopping_cart,12.080323286552414,3.7751010270476293,0.6799865297269827,0.15667115675767238,100
slow_speed,16.2610112334615,5.081566010456719,0.5057911986057707,0.21473626713140975,100
status,11.585347016705274,3.620420942720398,0.7006105409706136,0.14979648634312875,100
status_credit_missing,9.745064599789321,3.0453326874341626,0.7772889750087782,0.12423700833040721,100
status_delivery_date,8.0,2.5,0.85,0.09999999999999998,100
status_delivery_time,12.120250937663556,3.7875784180198613,0.6783228775973518,0.15722570746754935,100
status_due_amount,11.251749711007076,3.516171784689711,0.7145104287080385,0.1451631904306538,100
status_due_date,12.38065783432437,3.8689555732263656,0.6674725902364845,0.1608424699211718,100
status_mystery_fee,11.316609750324677,3.5364405469764613,0.7118079270698051,0.14606402431006493,100
status_payment_method,12.843868185166741,4.013708807864607,0.6481721589513858,0.1672759470162047,100
status_quantity,11.852421206704243,3.703881627095076,0.6894824497206565,0.15350585009311446,100
status_questions,12.251649986823523,3.828640620882351,0.6728479172156865,0.15905069426143778,100
status_service_added,12.10972820196244,3.784290063113262,0.6787613249182317,0.1570795583605894,100
status_service_removed,12.574919919974537,3.9296624749920426,0.6593783366677276,0.16354055444409077,100
status_shipping_question,12.38304903598349,3.8697028237448405,0.6673729568340212,0.1608756810553262,100
timing_1,13.17940858778434,4.118565183682606,0.6341913088423192,0.1719362303858936,100
timing_2,12.155784707297329,3.7986827210304153,0.6768423038626112,0.15771923204579621,100
timing_3,11.895845640655459,3.7174517627048305,0.6876730983060226,0.15410896723132578,100
timing_4,12.094638104398587,3.7795744076245583,0.6793900789833922,0.15686997367220257,100
